"Application 
Name",Framework,"Application
Link","Log Path on
Server",Dataset Name,Dataset Size,Cache Size,# epoch,Type,I/O rate,Compute_time,"Execution Time
 on SSD real","SSD_cacl_time
from cache (our calc)",Error Rate (our calc),"SSD_cacl_time
from cache (REAL)",Error Rate (REAL),"Average Error 
Rate on SSD","SSD calc
 from HDD","Error Rate 
(SSD from HDD)","Average Error 
Rate on SSD from HDD","Execution Time
on Cache real","Execution Time
 on SAN_HDD real","HDD_cacl_time
from cache (our calc)",Error Rate (our calc),"HDD_cacl_time
from cache (REAL)",Error Rate (REAL),"Average Error
Rate on HDD","HDD calc time
from ssd","Error Rate 
(HDD from SSD)","Average Error 
Rate on HDD from SSD",SSD BW(MB/s),SAN_HDD BW(MB/s),Cache BW(MB/s),CacheBW_Calc,Hit Ratio,"GPU_Util
Cache","GPU_Util
SSD","GPU_Util
HDD",Disk_Util_cache,Disk_Util_ssd,Disk_Util_hdd,CPU_Util_cache,CPU_Util_ssd,CPU_Util_hdd,Read Sequential,Machine
squeezenet1_0,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,146G,70G,4,High hit,0.9822,4.3788,197,104.6388754,46.8838196,169.6810279,13.87,11.14857143,197,0,18.65428571,246,443,269.0617482,39.26371372,440.7706624,0.5,5.929285714,508.7006631,14.83,10.38076923,58,21.97,39.68,24.066946,5.82,62.78,90.47,-,98.22,96.48,-,21.71,21.42,11.99,68.81,208
vit_b_32,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,146G,70G,4,CPU intensive,0.9674,14.1484,431,429.7439192,0.2914340586,434.5570786,0.83,11.14857143,428.52,0.58,18.65428571,434,433,434.2026999,0.2777597975,439.0674981,1.4,5.929285714,434.5036427,0.35,10.38076923,22.61,22.37,22.64,22.3808,4.5,90.84,91.71,94.58,96.74,75.77,97.54,13.57,10.36,14.02,69.25,210
resnet18,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,146G,70G,2,Low hit,0.9799,1.9899,86,73.19357396,14.89119307,86.46981522,0.55,11.14857143,73.63,14.38,18.65428571,99,101,100.1035562,0.8875681158,118.3972832,17.23,5.929285714,116.9418594,15.78,10.38076923,56.44,40.96,49.15,41.425948,3.01,77.1,93.19,85.19,97.99,95.2,98.82,26.6,22.26,22.02,67.64,210
EfficientDet,pytorch,COCO,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,coco,24G,70G,4,Low hit,0.7967,65.056,311,1047.83839,236.9255273,317.6770478,2.15,11.14857143,326.08,4.85,18.65428571,320,346,1129.358113,226.404079,338.6314302,2.13,5.929285714,321.0968648,,,35.12,32.43,34.8,135.3839178,5.4,98.45,99.62,92.18,79.67,39.14,75.16,10.41,9.82,10.08,65.73,210
FIO,,,,ImageNet,,,,High hit,0.9622,0.9828,22,23.84398374,8.381744295,51.54840445,134.3109293,,234,,,26,234,120.3346217,48.57494799,264.9716238,13.24,,22,,,79.12,15.155,159.92,72.301331,89.34,,,,96.22,,,,,,,
deepwalk,,,,ImageNet,,,,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,,,1256,0,100,0,100,,0,,,,0.013,,0.013,,,,0,,,5.87,,,67.15,,210
InterImage (no cache),pytorch,COCO,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,coco,24G,70G,2,,0,0,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,,,92,0,100,0,100,,0,,,,10.3,,10.3,,,,,,,93.1,,,0.67,,
DaveNet,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,241G,70G,2,,0,0,150,0,100,0,100,,154.6140541,,,,215,0,100,0,100,,178.2500347,,,14.43,10.1,,10.1,,,94.95,68.82,,43.93,93.6,,6.18,5.72,,210
DaveNet,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,241G,70G,1,,0,0,150,0,100,0,100,,0,,,,,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,#DIV/0!,,,14.4,,,0,,,94.78,,,45.02,,,7.32,,,210
mnasnet0_5,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,146G,70G,4,,#VALUE!,#VALUE!,173,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,107.6406261,,,199,200,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,1476.347062,,,54.94,6.14,-,8.47264,4.78,33.19,35.69,54.32,-,94.79,51.99,25.08,19.74,21.02,64.96,208
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,کار مار رندوم بوده یا secuential;,,,,,,,,,,
Re-execution,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
resnet18,pytorch,https://github.com/pytorch/examples/tree/main/imagenet,/mnt/ssd_san/Monitoring_ML/pytorch_example/yolov_cache/,ImageNet,146G,70G,2,,,,75,,,,,,,,,105,101,,,,,,,,,,,,,,باگ جا‌هایی است که disk util پایین است,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Average Error Rate,,,,,,,,,,,,,31.78876409,,11.14857143,,,18.65428571,,,,,24.67021743,,5.929285714,,,10.38076923,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,پیش بینی مدل Multilinear regresion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Predictions: [ 100.72182816  171.41625784  179.55646473  509.68517193  224.19336495,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,904.6458766   230.94889097  904.59449092  454.32669289 1578.34572879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,172.92473681  359.61401452  503.31605557  144.71042531],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
